Rk,Unnamed: 1,Age,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19,OBPM,DBPM,BPM,VORP,Year,Team,Percent_VORP,TOV%,USG%,Unnamed: 16,Unnamed: 21,3PAr,Unnamed: 17,Unnamed: 22
7,Jerome Williams,27,11,164,15.1,0.52,0.917,14.4,19.5,16.8,8.3,3.4,2.8,,0.2,0.3,0.5,0.14800000000000002,,-0.2,1.5,1.3,0.1,2001,TOR,0.045454545454545456,15.1,11.4,,,0.0,,
7,Keyon Dooling,27,10,148,12.5,0.527,0.268,1.6,6.2,4.0,8.0,2.2,0.5,,0.2,0.1,0.3,0.09,,-1.3,0.8,-0.6,0.1,2008,ORL,0.045454545454545456,8.7,22.1,,,0.41100000000000003,,
5,Chris Childs,33,12,380,11.7,0.544,0.256,0.6,12.1,6.1,32.2,1.7,0.6,,0.2,0.3,0.5,0.062,,-1.2,0.0,-1.2,0.1,2001,TOR,0.045454545454545456,25.9,16.7,,,0.4,,
7,Udonis Haslem,23,13,199,13.0,0.504,0.9390000000000001,10.4,15.0,12.7,2.6,1.4,1.3,,0.4,0.2,0.6,0.154,,-0.3,0.3,-0.1,0.1,2004,MIA,0.045454545454545456,6.0,12.0,,,0.0,,
7,Shannon Brown,25,10,166,14.5,0.536,0.23,3.5,11.3,7.2,7.6,2.0,1.1,,0.1,0.1,0.2,0.063,,0.3,-0.2,0.1,0.1,2011,LAL,0.045454545454545456,11.8,21.8,,,0.41,,
7,Dwight Jones,24,12,246,11.0,0.506,0.365,5.7,17.4,11.5,7.3,1.5,0.7,,0.2,0.1,0.3,0.06,,-1.7,1.1,-0.6,0.1,1977,HOU,0.045454545454545456,,,,,,,
4,Eric Gordon,29,17,549,12.1,0.529,0.276,1.8,7.4,4.5,8.2,0.9,1.3,,0.3,0.4,0.6,0.055999999999999994,,0.8,-1.3,-0.5,0.2,2018,HOU,0.045454545454545456,8.8,22.2,,,0.588,,
6,Dell Curry,36,12,182,13.2,0.563,0.188,1.3,8.4,4.7,9.4,1.8,0.4,,0.2,0.1,0.3,0.071,,1.3,-0.9,0.4,0.1,2001,TOR,0.045454545454545456,13.7,20.7,,,0.578,,
2,Alvin Williams,26,12,486,12.4,0.48200000000000004,0.156,1.5,7.6,4.4,17.4,1.7,1.2,,0.4,0.3,0.7,0.068,,-0.8,-0.3,-1.1,0.1,2001,TOR,0.045454545454545456,8.6,18.1,,,0.175,,
6,Leandro Barbosa,23,20,632,13.6,0.579,0.265,1.0,5.0,3.0,13.1,1.2,0.5,,0.8,0.1,0.9,0.069,,0.1,-0.5,-0.4,0.2,2006,PHO,0.045454545454545456,10.6,20.4,,,0.315,,
